,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,season,type
7,New Orleans Pelicans,9,7,2,0.778,55,118,43,94,45.7,6,26,23.1,26,35,74.3,12,34,46,16,10,11,9,5,21,36,18,2017-18,OT
8,Oklahoma City Thunder,4,3,1,0.75,30,57,21,51,41.2,7,17,41.2,8,14,57.1,8,17,25,8,7,6,4,4,17,13,3,2017-18,OT
9,Portland Trail Blazers,3,2,1,0.667,15,33,12,26,46.2,3,9,33.3,6,10,60,4,13,17,4,6,2,3,1,9,7,1,2017-18,OT
9,Toronto Raptors,6,4,2,0.667,30,60,21,58,36.2,5,21,23.8,13,17,76.5,10,22,32,12,7,2,5,3,10,18,4,2017-18,OT
9,Utah Jazz,3,2,1,0.667,15,33,8,22,36.4,5,14,35.7,12,17,70.6,1,12,13,4,2,2,0,3,7,14,8,2017-18,OT
12,Minnesota Timberwolves,5,3,2,0.6,25,61,17,35,48.6,6,12,50,21,25,84,3,14,17,7,5,3,2,1,14,17,4,2017-18,OT
13,Boston Celtics,4,2,2,0.5,25,53,20,41,48.8,4,14,28.6,9,14,64.3,1,20,21,10,5,1,1,4,11,9,10,2017-18,OT
13,Charlotte Hornets,4,2,2,0.5,20,46,16,37,43.2,6,17,35.3,8,14,57.1,4,15,19,6,5,4,2,4,9,14,0,2017-18,OT
13,Milwaukee Bucks,6,3,3,0.5,30,66,22,53,41.5,7,22,31.8,15,17,88.2,5,17,22,11,6,5,3,3,20,14,2,2017-18,OT
13,Philadelphia 76ers,2,1,1,0.5,20,41,13,26,50,2,10,20,13,15,86.7,0,14,14,11,4,2,3,2,6,15,4,2017-18,OT
13,San Antonio Spurs,2,1,1,0.5,10,14,6,18,33.3,0,5,0,2,2,100,2,9,11,0,4,0,3,0,10,3,-6,2017-18,OT
13,Washington Wizards,6,3,3,0.5,35,66,20,60,33.3,6,20,30,20,32,62.5,10,25,35,9,9,7,4,6,16,21,-3,2017-18,OT
19,Denver Nuggets,7,3,4,0.429,40,83,26,59,44.1,11,29,37.9,20,25,80,7,18,25,20,15,7,2,4,28,24,-17,2017-18,OT
20,Chicago Bulls,5,2,3,0.4,35,59,19,51,37.3,2,16,12.5,19,22,86.4,6,29,35,10,14,3,5,5,19,20,-3,2017-18,OT
21,Los Angeles Lakers,8,3,5,0.375,45,102,33,76,43.4,9,31,29,27,38,71.1,8,31,39,15,8,3,3,10,25,29,1,2017-18,OT
22,Miami Heat,9,3,6,0.333,50,114,42,81,51.9,10,26,38.5,20,27,74.1,9,36,45,23,14,6,4,5,32,29,0,2017-18,OT
23,Detroit Pistons,5,1,4,0.2,25,33,13,41,31.7,4,19,21.1,3,11,27.3,7,21,28,5,8,0,7,3,17,9,-11,2017-18,OT
23,New York Knicks,5,1,4,0.2,30,54,22,55,40,5,17,29.4,5,6,83.3,7,16,23,10,5,3,4,3,20,7,-17,2017-18,OT
